ticker,market_cap,name,is_ge_5trn
005930,434501423474800,삼성전자,True
000660,223496726055000,SK하이닉스,True
373220,81900000000000,LG에너지솔루션,True
207940,73736264000000,삼성바이오로직스,True
012450,51821218005000,한화에어로스페이스,True
005935,48387297575200,삼성전자우,True
329180,45895700972000,HD현대중공업,True
005380,45660981818000,현대차,True
105560,44859943312800,KB금융,True
000270,41977936182000,기아,True
068270,39721534488000,셀트리온,True
034020,39074229906000,두산에너빌리티,True
035420,36546664654000,NAVER,True
042660,34502148164400,한화오션,True
055550,32916556525200,신한지주,True
032830,32180000000000,삼성생명,True
028260,31700625456000,삼성물산,True
009540,29937028068000,HD한국조선해양,True
012330,29007249704000,현대모비스,True
035720,26483275460100,카카오,True
196170,25288929864000,알테오젠,True
086790,24970285065300,하나금융지주,True
011200,24498443954400,HMM,True
402340,24135690241800,SK스퀘어,True
015760,24105751091350,한국전력,True
064350,23192737262500,현대로템,True
138040,22825835176400,메리츠금융지주,True
005490,22782625988000,POSCO홀딩스,True
000810,21763276315000,삼성화재,True
267260,21087573975000,HD현대일렉트릭,True
051910,20471779470000,LG화학,True
010140,19668000000000,삼성중공업,True
316140,18898953700450,우리금융지주,True
096770,18342227498000,SK이노베이션,True
010130,18301271522000,고려아연,True
033780,16197693351900,KT&G,True
034730,15986846011500,SK,True
006400,15980110599000,삼성SDI,True
024110,15733212395370,기업은행,True
259960,15379101837000,크래프톤,True
009150,14042414848000,삼성전기,True
086280,13995000000000,현대글로비스,True
030200,13155531957000,KT,True
298040,12923823528000,효성중공업,True
018260,12651270300000,삼성에스디에스,True
006800,12404381874000,미래에셋증권,True
066570,12363076773300,LG전자,True
003230,12278814450000,삼양식품,True
003550,12108339705000,LG,True
352820,11891673693500,하이브,True
267250,11833164133000,HD현대,True
017670,11791973909700,SK텔레콤,True
323410,11757814272050,카카오뱅크,True
003670,11634165576000,포스코퓨처엠,True
247540,11432977113600,에코프로비엠,True
079550,11066000000000,LIG넥스원,True
272210,10314998639400,한화시스템,True
000150,10294349205000,두산,True
005830,10287240000000,DB손해보험,True
047810,9942460914000,한국항공우주,True
443060,9840011595000,HD현대마린솔루션,True
000100,9508247159300,유한양행,True
010120,9480000000000,LS ELECTRIC,True
003490,8745240698750,대한항공,True
047050,8725770284800,포스코인터내셔널,True
326030,8653614125000,SK바이오팜,True
278470,8590335322500,에이피알,True
042700,8578098000000,한미반도체,True
071050,8225156419200,한국금융지주,True
010620,8028371949000,HD현대미포,True
180640,7423965424800,한진칼,True
005940,7358511219850,NH투자증권,True
087010,7245475850000,펩트론,True
021240,7176531473400,코웨이,True
377300,7145393545800,카카오페이,True
090430,7013281804100,아모레퍼시픽,True
010950,6856292032800,S-Oil,True
064400,6830459334000,LG씨엔에스,True
214450,6784440144000,파마리서치,True
086520,6598720987200,에코프로,True
016360,6581410000000,삼성증권,True
032640,6563478980850,LG유플러스,True
000720,6536583405500,현대건설,True
039490,6530805463500,키움증권,True
000880,6491426451000,한화,True
029780,6221622446700,삼성카드,True
005387,6034774318000,현대차2우B,True
034220,5875000000000,LG디스플레이,True
006260,5823290000000,LS,True
298380,5752215013000,에이비엘바이오,True
028050,5664400000000,삼성E&A,True
141080,5641653085800,리가켐바이오,True
277810,5606558962000,레인보우로보틱스,True
088980,5550705898870,맥쿼리인프라,True
001040,5496946423200,CJ,True
007660,5476327737400,이수페타시스,True
251270,5303331073400,넷마블,True
241560,5176227510000,두산밥캣,True
028300,5145839120700,HLB,True
009830,5045045931600,한화솔루션,True
000250,4996441536000,삼천당제약,False
161390,4942615253100,한국타이어앤테크놀로지,False
004020,4937494045000,현대제철,False
138930,4842147371600,BNK금융지주,False
175330,4750901128400,JB금융지주,False
307950,4662076940000,현대오토에버,False
051900,4498922946000,LG생활건강,False
271560,4364788972800,오리온,False
036570,4351892444000,엔씨소프트,False
078930,4325210845900,GS,False
454910,4070694744000,두산로보틱스,False
005385,3956292720000,현대차우,False
145020,3949594593000,휴젤,False
011070,3881405548000,LG이노텍,False
302440,3855761934000,SK바이오사이언스,False
082740,3846913246200,한화엔진,False
011790,3839845417200,SKC,False
058470,3787728945000,리노공업,False
035250,3786746850000,강원랜드,False
950160,3751769274000,코오롱티슈진,False
128940,3740809372000,한미약품,False
036460,3720213900000,한국가스공사,False
002380,3714544878000,KCC,False
214150,3622462942700,클래시스,False
097950,3575369175000,CJ제일제당,False
062040,3565132920000,산일전기,False
052690,3485664000000,한전기술,False
022100,3466391821200,포스코DX,False
031210,3456169101000,서울보증보험,False
450080,3426688776000,에코프로머티,False
103140,3382530354600,풍산,False
439260,3367199668800,대한조선,False
041510,3269361732000,에스엠,False
071970,3222542025000,HD현대마린엔진,False
004990,3194486266650,롯데지주,False
012750,3123532431600,에스원,False
001440,3117398856000,대한전선,False
017800,3103935369000,현대엘리베이터,False
004370,2968329296000,농심,False
489790,2958619654000,한화비전,False
214370,2911353000000,케어젠,False
042670,2908309065200,HD현대인프라코어,False
011780,2897324776500,금호석유화학,False
088350,2883519600000,한화생명,False
011170,2818900112100,롯데케미칼,False
310210,2793656849900,보로노이,False
026960,2786615000000,동서,False
097230,2777197271350,HJ중공업,False
035900,2686256395200,JYP Ent.,False
111770,2671981520400,영원무역,False
008930,2646752985000,한미사이언스,False
383220,2643188175000,F&F,False
039030,2599425050000,이오테크닉스,False
257720,2584513113000,실리콘투,False
081660,2530034821900,미스토홀딩스,False
192820,2525265752500,코스맥스,False
082270,2490550335400,젬백스,False
001720,2456136000000,신영증권,False
001450,2454030000000,현대해상,False
012510,2451890668800,더존비즈온,False
462870,2442380466000,시프트업,False
018880,2413000872360,한온시스템,False
068760,2367412206400,셀트리온제약,False
030000,2323832745000,제일기획,False
403870,2304560476800,HPSP,False
051600,2304000000000,한전KPS,False
139130,2302796803860,iM금융지주,False
066970,2298813814200,엘앤에프,False
000240,2278445760000,한국앤컴퍼니,False
361610,2277770735000,SK아이이테크놀로지,False
000990,2277647564400,DB하이텍,False
018670,2237349048000,SK가스,False
028670,2191734999200,팬오션,False
003690,2181995547200,코리안리,False
002790,2165235405000,아모레퍼시픽홀딩스,False
263750,2165152713500,펄어비스,False
139480,2116599317300,이마트,False
240810,2113061938050,원익IPS,False
006040,2072747942700,동원산업,False
483650,2051831305000,달바글로벌,False
336260,2013932074500,두산퓨얼셀,False
003570,1985186010900,SNT다이내믹스,False
034230,1970419596600,파라다이스,False
014680,1968923371500,한솔케미칼,False
020560,1965151382940,아시아나항공,False
484870,1954357650000,엠앤씨솔루션,False
008770,1931007553200,호텔신라,False
023530,1923635340000,롯데쇼핑,False
282330,1902958050600,BGF리테일,False
000120,1895705786400,CJ대한통운,False
077970,1886958961000,STX엔진,False
112610,1876627433500,씨에스윈드,False
161890,1864801083000,한국콜마,False
103590,1850193132000,일진전기,False
009970,1846695621600,영원무역홀딩스,False
237690,1841973963200,에스티팜,False
122870,1831722802000,와이지엔터테인먼트,False
357780,1808516595000,솔브레인,False
069960,1798990633500,현대백화점,False
010060,1796824573500,OCI홀딩스,False
140860,1790079232000,파크시스템스,False
017960,1777864481000,한국카본,False
100090,1751247777600,SK오션플랜트,False
009420,1744837309200,한올바이오파마,False
347850,1738886329300,디앤디파마텍,False
226950,1731188936400,올릭스,False
005290,1727526998400,동진쎄미켐,False
375500,1696715368550,DL이앤씨,False
039200,1688966020400,오스코텍,False
204320,1683412752000,HL만도,False
004170,1683084084500,신세계,False
005850,1681436424000,에스엘,False
069620,1670784115000,대웅제약,False
023590,1662308159850,다우기술,False
006360,1651722757000,GS건설,False
267270,1650708996300,HD현대건설기계,False
007310,1639202470000,오뚜기,False
065350,1638043300800,신성델타테크,False
035760,1592056580400,CJ ENM,False
083650,1575068687500,비에이치아이,False
047040,1571053571640,대우건설,False
089030,1565117725500,테크윙,False
006280,1557815515400,녹십자,False
007340,1556389009000,DN오토모티브,False
140410,1508753484000,메지온,False
348370,1490336303400,엔켐,False
395400,1489248097280,SK리츠,False
007390,1488449793600,네이처셀,False
075580,1483770801600,세진중공업,False
004800,1483200060200,효성,False
095340,1462597002000,ISC,False
003540,1459735250000,대신증권,False
000155,1456710399000,두산우,False
300720,1451029263000,한일시멘트,False
011210,1444058907300,현대위아,False
036530,1438002745200,SNT홀딩스,False
073240,1424811023520,금호타이어,False
064760,1401000000000,티씨케이,False
003090,1398314619000,대웅,False
253450,1388702607600,스튜디오드래곤,False
085620,1375415788530,미래에셋생명,False
007070,1369489457700,GS리테일,False
457190,1368435084000,이수스페셜티케미컬,False
000080,1368306750610,하이트진로,False
294870,1360986364500,HDC현대산업개발,False
036930,1358964228750,주성엔지니어링,False
096530,1331762847000,씨젠,False
001800,1331215217500,오리온홀딩스,False
293490,1330834978220,카카오게임즈,False
032350,1326718593120,롯데관광개발,False
100840,1325638190300,SNT에너지,False
108490,1315445720000,로보티즈,False
003530,1308741427500,한화투자증권,False
195940,1301758491450,HK이노엔,False
005070,1300430240000,코스모신소재,False
